web-scraper-order,web-scraper-start-url,eventos,eventos-href,nome,data,localização,imagem,preço
"1638467896-412","https://www.sympla.com.br/eventos/reveillon?c=nordeste&page=4","Sab, 08 Jan · 17:00DUB TROPICAL (Dubdogz)Cafe De La Musique Maceió - Maceió, AL","https://www.sympla.com.br/dub-tropical-dubdogz__1312428","DUB TROPICAL (Dubdogz)","08 de janeiro de 2022, 17h  - 09 de janeiro de 2022, 02h","Cafe De La Musique Maceió - Maceió, AL","url('https://images.sympla.com.br/61195ef6584e4-lg.jpg');"">","R$ 150,00"
"1638467966-428","https://www.sympla.com.br/eventos/reveillon?c=nordeste&page=4","Qui, 30 Dez · 15:00PLAYA (Vintage Culture)Cafe De La Musique Maceió - Maceió, AL","https://www.sympla.com.br/playa-vintage-culture__1312410","PLAYA (Vintage Culture)","30 de dezembro de 2021, 15h  - 31 de dezembro de 2021, 02h","Cafe De La Musique Maceió - Maceió, AL","url('https://images.sympla.com.br/61195db410d58-lg.jpg');"">","R$ 350,00"
"1638467918-417","https://www.sympla.com.br/eventos/reveillon?c=nordeste&page=4","Sex, 31 Dez · 22:00Reveillón Metrópole 2022SOCIAL NA PISCINA - Recife, PE","https://www.sympla.com.br/reveillon-metropole-2022__1416582","Reveillón Metrópole 2022","31 de dezembro de 2021, 22h  - 01 de janeiro de 2022, 06h","SOCIAL NA PISCINA - Recife, PE","url('https://images.sympla.com.br/61982d37b57fc-lg.jpg');"">","R$ 120,00"
"1638467976-431","https://www.sympla.com.br/eventos/reveillon?c=nordeste&page=4","26 Dez01 JanRéveillon dos Milagres 2022Rota Ecológica dos Milagres - São Miguel dos Milagres, AL","https://www.sympla.com.br/reveillon-dos-milagres-2022__1193603","Réveillon dos Milagres 2022","26 de dezembro de 2021, 18h  - 01 de janeiro de 2022, 22h","Rota Ecológica dos Milagres - São Miguel dos Milagres, AL","url('https://images.sympla.com.br/60fb412d1ba25-lg.png');"">","null"
"1638467969-429","https://www.sympla.com.br/eventos/reveillon?c=nordeste&page=4","28 Dez03 JanRéveillon Amoré 22Morro de São Paulo - Cairu, BA","https://www.sympla.com.br/reveillon-amore-22__1289440","Réveillon Amoré 22","28 de dezembro de 2021, 17h  - 03 de janeiro de 2022, 08h","Morro de São Paulo - Cairu, BA","url('https://images.sympla.com.br/612e06fd688e3-lg.png');"">","R$ 3.900,00"
"1638467949-423","https://www.sympla.com.br/eventos/reveillon?c=nordeste&page=4","Seg, 27 Dez · 17:00SURURU (Pedro Sampaio + KVSH)Cafe De La Musique Maceió - Maceió, AL","https://www.sympla.com.br/sururu-pedro-sampaio-kvsh__1312376","SURURU (Pedro Sampaio + KVSH)","27 de dezembro de 2021, 17h  - 28 de dezembro de 2021, 02h","Cafe De La Musique Maceió - Maceió, AL","url('https://images.sympla.com.br/61195bfbc00c5-lg.jpg');"">","R$ 200,00"
"1638467888-410","https://www.sympla.com.br/eventos/reveillon?c=nordeste&page=4","Sex, 31 Dez · 21:00Reveillon do Bailinho + Cortejo Afro + Marcia CastroTrapiche Barnabé - Salvador, BA","https://www.sympla.com.br/reveillon-do-bailinho-cortejo-afro-marcia-castro__1395284","Reveillon do Bailinho + Cortejo Afro + Marcia Castro","31 de dezembro de 2021, 21h  - 01 de janeiro de 2022, 05h","Trapiche Barnabé - Salvador, BA","url('https://images.sympla.com.br/6179e2e1cd9db-lg.jpg');"">","R$ 150,00"
"1638467979-432","https://www.sympla.com.br/eventos/reveillon?c=nordeste&page=4","Ter, 28 Dez · 17:00VEM ME AMAR (Zé Vaqueiro + Nattan)Cafe De La Musique Maceió - Maceió, AL","https://www.sympla.com.br/vem-me-amar-ze-vaqueiro-nattan__1312395","VEM ME AMAR (Zé Vaqueiro + Nattan)","28 de dezembro de 2021, 17h  - 29 de dezembro de 2021, 02h","Cafe De La Musique Maceió - Maceió, AL","url('https://images.sympla.com.br/61195d555a78d-lg.jpg');"">","R$ 400,00"
"1638467933-420","https://www.sympla.com.br/eventos/reveillon?c=nordeste&page=4","Sex, 31 Dez · 20:00RÉVEILLON 7 MARES | OPENBAR PREMIUMVila Jardim dos Namorados - Salvador, BA","https://www.sympla.com.br/reveillon-7-mares-openbar-premium__1345030","RÉVEILLON 7 MARES | OPENBAR PREMIUM","31 de dezembro de 2021, 20h  - 01 de janeiro de 2022, 04h","Vila Jardim dos Namorados - Salvador, BA","url('https://images.sympla.com.br/614f800e68f4c-lg.jpg');"">","R$ 260,00"
"1638467892-411","https://www.sympla.com.br/eventos/reveillon?c=nordeste&page=4","Sex, 31 Dez · 21:00Revéillon Sete Ondas 2022Lôro - Praia do Flamengo - Salvador, BA","https://www.sympla.com.br/reveillon-sete-ondas-2022__1351191","Revéillon Sete Ondas 2022","31 de dezembro de 2021, 21h  - 01 de janeiro de 2022, 05h","Lôro - Praia do Flamengo - Salvador, BA","url('https://images.sympla.com.br/6176dbd665294-lg.png');"">","R$ 545,00"
"1638467942-422","https://www.sympla.com.br/eventos/reveillon?c=nordeste&page=4","27 Dez31 DezCOMBO 1 SEMANA REVEILLON  (03 festas)Cafe De La Musique Maceió - Maceió, AL","https://www.sympla.com.br/combo-1-semana-reveillon-03-festas__1313831","COMBO 1 SEMANA REVEILLON  (03 festas)","27 de dezembro de 2021, 17h  - 31 de dezembro de 2021, 02h","Cafe De La Musique Maceió - Maceió, AL","url('https://images.sympla.com.br/6119783f34fc5-lg.jpg');"">","R$ 1.005,00"
"1638467927-419","https://www.sympla.com.br/eventos/reveillon?c=nordeste&page=4","27 Dez02 JanDias Avulsos - Réveillon das Emoções 2022Barra Grande - Piauí  - Cajueiro da Praia, PI","https://www.sympla.com.br/dias-avulsos-reveillon-das-emocoes-2022__1329841","Dias Avulsos - Réveillon das Emoções 2022","27 de dezembro de 2021, 23h  - 02 de janeiro de 2022, 06h","Barra Grande - Piauí  - Cajueiro da Praia, PI","url('https://images.sympla.com.br/612e8973a48f6-lg.png');"">","R$ 780,00"
"1638467907-415","https://www.sympla.com.br/eventos/reveillon?c=nordeste&page=4","28 Dez03 JanCores de Caraíva | Réveillon 2021/2022Caraíva - Porto Seguro, BA","https://www.sympla.com.br/cores-de-caraiva-reveillon-2021-2022__1325830","Cores de Caraíva | Réveillon 2021/2022","28 de dezembro de 2021, 18h  - 03 de janeiro de 2022, 23h59","Caraíva - Porto Seguro, BA","url('https://images.sympla.com.br/616979334bc2a-lg.jpg');"">","R$ 1.850,00"
"1638467963-427","https://www.sympla.com.br/eventos/reveillon?c=nordeste&page=4","27 Dez03 JanReveillon das Emoções 2022Barra Grande - Piauí  - Cajueiro da Praia, PI","https://www.sympla.com.br/reveillon-das-emocoes-2022__1258546","Reveillon das Emoções 2022","27 de dezembro de 2021, 23h  - 03 de janeiro de 2022, 05h","Barra Grande - Piauí  - Cajueiro da Praia, PI","url('https://images.sympla.com.br/60d152a9bb7d1-lg.png');"">","R$ 3.950,00"
